sample_name,library,population
HG02783,SHORT,PJL
HG02790,SHORT,PJL
HG02494,SHORT,PJL
HG02724,SHORT,PJL
HG01589,SHORT,PJL
HG01583,SHORT,PJL
HG02784,SHORT,PJL
HG02789,SHORT,PJL
HG02791,SHORT,PJL
HG02493,SHORT,PJL
HG02688,SHORT,PJL
HG02733,SHORT,PJL
HG02690,SHORT,PJL
HG02738,SHORT,PJL
HG02727,SHORT,PJL
HG02602,SHORT,PJL
HG02776,SHORT,PJL
HG02652,SHORT,PJL
HG02492,SHORT,PJL
HG02788,SHORT,PJL
HG02657,SHORT,PJL
HG02683,SHORT,PJL
HG02601,SHORT,PJL
HG02649,SHORT,PJL
HG02651,SHORT,PJL
HG02656,SHORT,PJL
HG02682,SHORT,PJL
HG02687,SHORT,PJL
HG02694,SHORT,PJL
HG02699,SHORT,PJL
HG03016,SHORT,PJL
HG02726,SHORT,PJL
HG03237,SHORT,PJL
HG03229,SHORT,PJL
HG03236,SHORT,PJL
HG03489,SHORT,PJL
HG03491,SHORT,PJL
HG03015,SHORT,PJL
HG03022,SHORT,PJL
HG03624,SHORT,PJL
HG03629,SHORT,PJL
HG03631,SHORT,PJL
HG03636,SHORT,PJL
HG03488,SHORT,PJL
HG03490,SHORT,PJL
HG03650,SHORT,PJL
HG03667,SHORT,PJL
HG03706,SHORT,PJL
HG03763,SHORT,PJL
HG03701,SHORT,PJL
HG03700,SHORT,PJL
HG03705,SHORT,PJL
HG03762,SHORT,PJL
HG03767,SHORT,PJL
HG03635,SHORT,PJL
HG03654,SHORT,PJL
NA20845,SHORT,GIH
NA20852,SHORT,GIH
NA20864,SHORT,GIH
NA20869,SHORT,GIH
NA20876,SHORT,GIH
NA20908,SHORT,GIH
NA20910,SHORT,GIH
NA21088,SHORT,GIH
NA21090,SHORT,GIH
NA21095,SHORT,GIH
NA20888,SHORT,GIH
NA20890,SHORT,GIH
NA20895,SHORT,GIH
NA20903,SHORT,GIH
NA21127,SHORT,GIH
NA20849,SHORT,GIH
NA20851,SHORT,GIH
NA21141,SHORT,GIH
NA20856,SHORT,GIH
NA21103,SHORT,GIH
NA21126,SHORT,GIH
NA21108,SHORT,GIH
NA21133,SHORT,GIH
NA21110,SHORT,GIH
NA21115,SHORT,GIH
NA21122,SHORT,GIH
NA21102,SHORT,GIH
NA21107,SHORT,GIH
NA21114,SHORT,GIH
NA21119,SHORT,GIH
NA20863,SHORT,GIH
NA20868,SHORT,GIH
NA20870,SHORT,GIH
NA20875,SHORT,GIH
NA20882,SHORT,GIH
NA21087,SHORT,GIH
NA21094,SHORT,GIH
NA21099,SHORT,GIH
NA20887,SHORT,GIH
NA20894,SHORT,GIH
NA20899,SHORT,GIH
NA20902,SHORT,GIH
HG02603,SHORT,PJL
HG02653,SHORT,PJL
HG02778,SHORT,PJL
HG02780,SHORT,PJL
HG02600,SHORT,PJL
HG02785,SHORT,PJL
HG02605,SHORT,PJL
HG02691,SHORT,PJL
HG02696,SHORT,PJL
HG02728,SHORT,PJL
HG02648,SHORT,PJL
HG02650,SHORT,PJL
HG02792,SHORT,PJL
HG02597,SHORT,PJL
HG02655,SHORT,PJL
HG02681,SHORT,PJL
HG02686,SHORT,PJL
HG02658,SHORT,PJL
HG02491,SHORT,PJL
HG02660,SHORT,PJL
HG02737,SHORT,PJL
HG02684,SHORT,PJL
HG02689,SHORT,PJL
HG02775,SHORT,PJL
HG03017,SHORT,PJL
HG02698,SHORT,PJL
HG02701,SHORT,PJL
HG02725,SHORT,PJL
HG03019,SHORT,PJL
HG03021,SHORT,PJL
HG03238,SHORT,PJL
HG02787,SHORT,PJL
HG02794,SHORT,PJL
HG02821,SHORT,GWD
HG01586,SHORT,PJL
HG01593,SHORT,PJL
HG03492,SHORT,PJL
HG03228,SHORT,PJL
HG03618,SHORT,PJL
HG03620,SHORT,PJL
HG03625,SHORT,PJL
HG03230,SHORT,PJL
HG03699,SHORT,PJL
HG03235,SHORT,PJL
HG03702,SHORT,PJL
HG03707,SHORT,PJL
HG03487,SHORT,PJL
HG03649,SHORT,PJL
HG03651,SHORT,PJL
HG03663,SHORT,PJL
HG03668,SHORT,PJL
HG03704,SHORT,PJL
HG03709,SHORT,PJL
HG03761,SHORT,PJL
HG03653,SHORT,PJL
HG03660,SHORT,PJL
HG03634,SHORT,PJL
HG03639,SHORT,PJL
HG03641,SHORT,PJL
HG02604,SHORT,PJL
HG02654,SHORT,PJL
HG02659,SHORT,PJL
HG02661,SHORT,PJL
HG02685,SHORT,PJL
HG02692,SHORT,PJL
HG02697,SHORT,PJL
HG02700,SHORT,PJL
HG02729,SHORT,PJL
HG02731,SHORT,PJL
HG02490,SHORT,PJL
HG02495,SHORT,PJL
HG02786,SHORT,PJL
HG02793,SHORT,PJL
HG03018,SHORT,PJL
HG02736,SHORT,PJL
HG02774,SHORT,PJL
HG03234,SHORT,PJL
HG03239,SHORT,PJL
HG03619,SHORT,PJL
HG03626,SHORT,PJL
HG03633,SHORT,PJL
HG03640,SHORT,PJL
HG03652,SHORT,PJL
HG03669,SHORT,PJL
HG03703,SHORT,PJL
HG03708,SHORT,PJL
HG03710,SHORT,PJL
HG03765,SHORT,PJL
NA21135,SHORT,GIH
NA21142,SHORT,GIH
NA20891,SHORT,GIH
NA20896,SHORT,GIH
NA20904,SHORT,GIH
NA20911,SHORT,GIH
NA21109,SHORT,GIH
NA21111,SHORT,GIH
NA21116,SHORT,GIH
NA21123,SHORT,GIH
NA21128,SHORT,GIH
NA21130,SHORT,GIH
NA20846,SHORT,GIH
NA20853,SHORT,GIH
NA20858,SHORT,GIH
NA20872,SHORT,GIH
NA20877,SHORT,GIH
NA20884,SHORT,GIH
NA20889,SHORT,GIH
NA21089,SHORT,GIH
NA21091,SHORT,GIH
NA21104,SHORT,GIH
NA20850,SHORT,GIH
NA21125,SHORT,GIH
NA21137,SHORT,GIH
NA21144,SHORT,GIH
NA20862,SHORT,GIH
NA20867,SHORT,GIH
NA20874,SHORT,GIH
NA20881,SHORT,GIH
NA20886,SHORT,GIH
NA20901,SHORT,GIH
NA20906,SHORT,GIH
NA21086,SHORT,GIH
NA21093,SHORT,GIH
NA21098,SHORT,GIH
NA21101,SHORT,GIH
NA21106,SHORT,GIH
NA21113,SHORT,GIH
NA21118,SHORT,GIH
NA21120,SHORT,GIH
NA20847,SHORT,GIH
NA20854,SHORT,GIH
NA20859,SHORT,GIH
NA20861,SHORT,GIH
NA20866,SHORT,GIH
NA20892,SHORT,GIH
NA20897,SHORT,GIH
NA20900,SHORT,GIH
NA20905,SHORT,GIH
NA21092,SHORT,GIH
NA21097,SHORT,GIH
NA21100,SHORT,GIH
NA21105,SHORT,GIH
NA20878,SHORT,GIH
NA20885,SHORT,GIH
NA21143,SHORT,GIH
NA21112,SHORT,GIH
NA21117,SHORT,GIH
NA21124,SHORT,GIH
NA21129,SHORT,GIH
